Line #,Name,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","LQG15HS2N7S02D","Inductor","L2","Murata","LQG15HS2N7S02D","Volume Production","RSComponents","7926347","0.008","2"
"","LBR2012T100K","Inductor","L3","Taiyo Yuden","LBR2012T100K","Volume Production","Mouser","963-LBR2012T100K","0.058","5.8"
"","LQM21PN1R0MC0D","Inductor","L4","Murata","LQM21PN1R0MC0D","Volume Production","Future Electronics","LQM21PN1R0MC0D-CUTT","0.116","11.6"
"","LFL212G45TC1A007","","LPF1","Murata","LFL212G45TC1A007","Not Recommended for New Design","Mouser","81-LFL212G45TC1A007","0.153","15.3"
"","P70-5000045R","","P1","Harwin","P70-5000045R","New Product","Newark","01AC4938","0.36","108"
"","P70-5000045R","","P2","Harwin","P70-5000045R","New Product","Newark","01AC4938","0.36","108"
"","P70-5000045R","","P3","Harwin","P70-5000045R","New Product","Newark","01AC4938","0.36","108"
"","Header 2","Header, 2-Pin","P4","","","","","","",""
"","1k","RES SMD 1K OHM 5% 1/10W 0402","R1","","","","","","",""
"","1k","RES SMD 1K OHM 5% 1/10W 0402","R2","","","","","","",""
"","1k","RES SMD 1K OHM 5% 1/10W 0402","R3","","","","","","",""
"","10k","RES SMD 10K OHM 5% 1/10W 0402","R4","","","","","","",""
"","10k","RES SMD 10K OHM 5% 1/10W 0402","R5","","","","","","",""
"","100k","RES SMD 100K OHM 1% 1/10W 0402","R6","","","","","","",""
"","80.6k","RES SMD 80.6K OHM 1% 1/10W 0402","R7","","","","","","",""
"","5.6k","RES SMD 5.6K OHM 5% 1/10W 0402","R8","","","","","","",""
"","47k","RES SMD 47K OHM 5% 1/10W 0402","R9","","","","","","",""
"","100k","RES SMD 100K OHM 5% 1/10W 0402","R10","","","","","","",""
"","47k","RES SMD 47K OHM 5% 1/10W 0402","R11","","","","","","",""
"","3.3k","RES SMD 3.3K OHM 5% 1/10W 0402","R12","","","","","","",""
"","SOLDER_JUMPER","","SB1","","","","","","",""
"","NX3215SA-32.768K-STD-MUA-8","Crystal or Oscillator","Y1","NDK","NX3215SA-32.768K-STD-MUA-8","Volume Production","Digi-Key","644-1156-6-ND","0.4974","49.74"
"","XRCGB32M000F1H01R0","Crystal or Oscillator","Y2","Murata","XRCGB32M000F1H01R0","Unknown","Arrow","XRCGB32M000F1H01R0","0.3553","35.53"
